,sum_sq,df,F,PR(>F)
C(month),11031.523371687861,11.0,4.597697646431446,2.784881798766871e-06
C(treat),3793.990261829027,1.0,17.393773698000906,4.400135242473591e-05
C(month):C(treat),3999.056972591282,11.0,1.6667194739410691,0.08252389462253974
Residual,47114.66935143904,216.0,,
